station_id,num_bikes_available,numBikesAvailable,num_bikes_available_types/0/mechanical,num_bikes_available_types/1/ebike,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,stationCode,station_opening_hours
12225289563,1,1,0,1,27,27,1,1,1,1776082176,23206,
12196660096,7,7,5,2,23,23,1,1,1,1776081723,10202,
16898865154,26,26,26,0,3,3,1,1,1,1776082193,42030,
76352106,31,31,15,16,14,14,1,1,1,1776082169,8018,
2515701705,0,0,0,0,20,20,1,1,1,1776082195,20142,
27363206,5,5,1,4,29,29,1,1,1,1776082191,18010,
17869323774,0,0,0,0,25,25,1,1,1,1776082068,48001,
15550433574,10,10,3,7,28,28,1,1,1,1776081704,51008,
486750405,1,1,1,0,23,23,1,1,1,1776082086,18135,
11438171152,1,1,1,0,23,23,1,1,1,1776081887,24101,
10773448319,22,22,20,2,6,6,1,1,1,1776082077,34011,
16529895896,19,19,19,0,10,10,1,1,1,1776082105,21329,
102339791,8,8,4,4,18,18,1,1,1,1776082191,21704,
52474,1,1,0,1,34,34,1,1,1,1776081965,19121,
101015227,24,24,17,7,11,11,1,1,1,1776082178,13015,
11218473640,2,2,1,1,21,21,1,1,1,1776082114,25007,
125370566,2,2,2,0,18,18,1,1,1,1776081843,19114,
66491396,23,23,10,13,24,24,1,1,1,1776082122,12123,
102328355,8,8,7,1,12,12,1,1,1,1776081811,21002,
54000578,5,5,4,1,28,28,1,1,1,1776082147,13024,
39599631,2,2,0,2,21,21,1,1,1,1776082015,16021,
102724418,6,6,4,2,18,18,1,1,1,1776081987,23041,
653184632,5,5,2,3,26,26,1,1,1,1776081761,24005,
74805344,28,28,9,19,1,1,1,1,1,1776082150,8040,
653222953,5,5,1,4,23,23,1,1,1,1776082055,31104,
653110492,11,11,8,3,17,17,1,1,1,1776082162,42024,
84960402,11,11,9,2,27,27,1,1,1,1776082068,5027,
16529911795,13,13,9,4,13,13,1,1,1,1776082197,15203,
42950428,3,3,3,0,47,47,1,1,1,1776082154,13116,
653193536,0,0,0,0,20,20,1,1,1,1776082189,48006,
54000589,1,1,1,0,65,65,1,1,1,1776082051,15012,
74692052,4,4,1,3,29,29,1,1,1,1776082168,18016,
35080917,3,3,1,2,27,27,1,1,1,1776082112,19117,
7402,5,5,3,2,10,10,1,1,1,1776082183,11022,
101759167,10,10,7,3,36,36,1,1,1,1776082134,15053,
653114003,8,8,5,3,17,17,1,1,1,1776082111,21022,
89553051,6,6,1,5,15,15,1,1,1,1776081952,20003,
54000591,3,3,0,3,34,34,1,1,1,1776081819,15041,
37420,16,16,7,9,1,1,1,1,1,1776082128,10003,
75352635,12,12,2,10,11,11,1,1,1,1776082008,41103,
34836174,12,12,3,9,18,18,1,1,1,1776082114,41602,
6354,0,0,0,0,31,31,1,1,1,1776082056,13028,
102287315,29,29,29,0,13,13,1,1,1,1776081989,15069,
39776330,1,1,1,0,16,16,1,1,1,1776081847,20012,
27415194,3,3,0,3,50,50,1,1,1,1776082131,14027,
653114443,8,8,6,2,9,9,1,1,1,1776082180,42303,
653190196,0,0,0,0,37,37,1,1,1,1776081937,48002,
27363156,4,4,0,4,18,18,1,1,1,1776081684,41605,
16206842336,11,11,3,8,17,17,1,1,1,1776081938,30003,
66491409,0,0,0,0,20,20,1,1,1,1776082164,35013,
82583924,0,0,0,0,28,28,1,1,1,1776081780,20020,
124183944,8,8,5,3,46,46,1,1,1,1776081951,12008,
27363389,26,26,26,0,3,3,1,1,1,1776082116,12102,
66491373,6,6,5,1,13,13,1,1,1,1776081774,13120,
27363058,12,12,2,10,11,11,1,1,1,1776082166,15024,
37995,1,1,1,0,47,47,1,1,1,1776082158,12119,
82396562,2,2,0,2,17,17,1,1,1,1776081653,10009,
82429586,26,26,24,2,13,13,1,1,1,1776082111,13006,
19989456853,3,3,1,2,17,17,1,1,1,1776081741,23803,
35263507,6,6,2,4,17,17,1,1,1,1776082104,14004,
100921894,6,6,4,2,31,31,1,1,1,1776082179,11111,
102751453,8,8,5,3,19,19,1,1,1,1776082174,43007,
27399547,4,4,1,3,18,18,1,1,1,1776082029,15050,
54000610,62,62,60,2,5,5,1,1,1,1776082058,16025,
101022698,5,5,0,5,28,28,1,1,1,1776082137,13036,
102748267,8,8,7,1,17,17,1,1,1,1776082156,43004,
54000583,4,4,2,2,29,29,1,1,1,1776082129,14009,
74858883,0,0,0,0,32,32,1,1,1,1776081926,17117,
63279,5,5,3,2,10,10,1,1,1,1776082028,16017,
125918662,2,2,2,0,37,37,1,1,1,1776082036,18021,
15163771,15,15,14,1,12,12,1,1,1,1776081870,16116,
82571023,3,3,0,3,41,41,1,1,1,1776082194,20013,
82335295,28,28,22,6,2,2,1,1,1,1776082197,5033,
27363205,17,17,4,13,18,18,1,1,1,1776082159,15045,
653197206,7,7,6,1,16,16,1,1,1,1776081969,25004,
27415256,2,2,1,1,44,44,1,1,1,1776081972,12022,
6497,1,1,0,1,19,19,1,1,1,1776081991,15027,
653118283,10,10,5,5,14,14,1,1,1,1776082186,21023,
124167835,10,10,4,6,8,8,1,1,1,1776081681,31105,
66491384,1,1,0,1,34,34,1,1,1,1776081963,42205,
27415371,6,6,0,6,29,29,1,1,1,1776081792,20014,
16206691682,12,12,9,3,17,17,1,1,1,1776082103,22701,
49829553,2,2,0,2,27,27,1,1,1,1776081987,17110,
102752610,7,7,1,6,18,18,1,1,1,1776082166,31701,
37848502,5,5,1,4,19,19,1,1,1,1776081599,22404,
58086242,4,4,0,4,22,22,1,1,1,1776082195,20032,
213693511,2,2,0,2,22,22,1,1,1,1776081920,19003,
82440673,3,3,0,3,47,47,1,1,1,1776081884,14035,
16931052467,18,18,6,12,10,10,1,1,1,1776081658,30004,
101488317,3,3,0,3,31,31,1,1,1,1776082051,14005,
28233012,27,27,15,12,3,3,1,1,1,1776082174,8046,
54000624,2,2,0,2,17,17,1,1,1,1776081879,20110,
19867354582,3,3,0,3,26,26,1,1,1,1776081915,32306,
54000552,29,29,18,11,0,0,1,1,1,1776082188,8007,
16930981813,7,7,5,2,11,11,1,1,1,1776081845,21218,
66491382,2,2,0,2,33,33,1,1,1,1776082007,17006,
39882420,1,1,1,0,21,21,1,1,1,1776081721,18101,
54000547,35,35,23,12,2,2,1,1,1,1776082174,6028,
27415360,3,3,1,2,16,16,1,1,1,1776082183,20005,
82588494,0,0,0,0,29,29,1,1,1,1776082086,21207,
54000568,15,15,13,2,31,31,1,1,1,1776081881,11016,
82425449,1,1,0,1,48,48,1,1,1,1776082141,12122,
7234,28,28,19,9,1,1,1,1,1,1776081880,15120,
82551956,17,17,10,7,14,14,1,1,1,1776082176,16033,
85160045,6,6,4,2,20,20,1,1,1,1776082114,21205,
35816213,29,29,15,14,4,4,1,1,1,1776082082,16023,
653190279,6,6,4,2,15,15,1,1,1,1776082088,24007,
99840124,18,18,6,12,25,25,1,1,1,1776082139,6004,
39311270,4,4,1,3,29,29,1,1,1,1776081951,15114,
80077998,1,1,0,1,18,18,1,1,1,1776082035,19014,
13248144,3,3,2,1,30,30,1,1,1,1776082046,15014,
82408364,5,5,1,4,33,33,1,1,1,1776082168,11028,
66491372,68,68,35,33,5,5,1,1,1,1776082179,13055,
54000631,6,6,5,1,18,18,1,1,1,1776082164,22014,
653121023,24,24,18,6,0,0,1,1,1,1776081944,21027,
19867919889,11,11,0,11,11,11,1,1,1,1776082104,28002,
653194214,7,7,4,3,13,13,1,1,1,1776082060,25002,
11375742,2,2,0,2,23,23,1,1,1,1776082195,15113,
27363397,3,3,1,2,15,15,1,1,1,1776081879,16022,
39878420,1,1,1,0,17,17,1,1,1,1776082108,20011,
27415333,2,2,0,2,54,54,1,1,1,1776081748,19001,
76507850,1,1,1,0,31,31,1,1,1,1776081773,15044,
42588096,6,6,0,6,21,21,1,1,1,1776082061,13023,
101010226,19,19,13,6,45,45,1,1,1,1776082189,12040,
54000623,1,1,0,1,26,26,1,1,1,1776082082,20106,
82413301,2,2,0,2,36,36,1,1,1,1776081940,11029,
66491369,19,19,6,13,30,30,1,1,1,1776082063,6005,
99798962,32,32,27,5,2,2,1,1,1,1776081976,6020,
82588656,45,45,38,7,8,8,1,1,1,1776082094,21007,
35471668,6,6,4,2,24,24,1,1,1,1776082112,19007,
27415500,7,7,2,5,32,32,1,1,1,1776082176,21016,
11580442,17,17,16,1,0,0,1,1,1,1776082077,5105,
27414932,5,5,2,3,44,44,1,1,1,1776082077,11018,
125881065,5,5,0,5,28,28,1,1,1,1776082105,19123,
54000627,7,7,5,2,15,15,1,1,1,1776082106,21107,
54000629,4,4,1,3,32,32,1,1,1,1776081914,22007,
27415128,4,4,0,4,15,15,1,1,1,1776082119,13037,
84961467,34,34,21,13,20,20,1,1,1,1776081938,5031,
27414937,2,2,2,0,50,50,1,1,1,1776082143,12017,
27363504,0,0,0,0,28,28,1,1,1,1776081631,14025,
100227241,22,22,20,2,13,13,1,1,1,1776082066,6009,
2254322638,1,1,0,1,24,24,1,1,1,1776082067,42027,
15377776,13,13,5,8,4,4,1,1,1,1776082087,16104,
70736110,0,0,0,0,47,47,1,1,1,1776081644,20033,
16210188070,19,19,1,18,11,11,1,1,1,1776082078,30005,
129095489,4,4,1,3,24,24,1,1,1,1776082162,17050,
66507230,14,14,11,3,5,5,1,1,1,1776082117,13013,
66491388,15,15,5,10,17,17,1,1,1,1776082006,8044,
15189890802,1,1,1,0,23,23,1,1,1,1776081656,21510,
16043316164,4,4,3,1,24,24,1,1,1,1776081835,51007,
121160813,3,3,2,1,24,24,1,1,1,1776082187,17036,
15298647,15,15,13,2,21,21,1,1,1,1776082055,11040,
27415083,1,1,0,1,51,51,1,1,1,1776082184,13008,
311552027,26,26,23,3,17,17,1,1,1,1776082096,11038,
16043228469,26,26,11,15,1,1,1,1,1,1776082125,1201,
27415004,20,20,17,3,30,30,1,1,1,1776082083,12039,
14623073464,46,46,43,3,0,0,1,1,1,1776082092,21511,
20897904006,32,32,30,2,4,4,1,1,1,1776082165,41213,
11063317380,15,15,11,4,3,3,1,1,1,1776082152,21033,
129087587,1,1,0,1,38,38,1,1,1,1776081986,17004,
54000628,36,36,35,1,19,19,1,1,1,1776082059,21112,
54000551,32,32,4,28,14,14,1,1,1,1776082197,8003,
15187848239,12,12,11,1,16,16,1,1,1,1776081919,22703,
16043242148,22,22,5,17,6,6,1,1,1,1776082134,24010,
13568870765,14,14,13,1,6,6,1,1,1,1776082087,25009,
214097180,16,16,14,2,7,7,1,1,1,1776081942,41101,
17225742003,11,11,9,2,9,9,1,1,1,1776082090,26010,
2515618216,26,26,19,7,4,4,1,1,1,1776082004,16140,
16965900639,13,13,11,2,11,11,1,1,1,1776082154,3201,
85123644,1,1,0,1,25,25,1,1,1,1776082000,20035,
17018170219,0,0,0,0,20,20,1,1,1,1776081999,23106,
11908488283,11,11,5,6,15,15,1,1,1,1776081941,21508,
253357936,20,20,16,4,36,36,1,1,1,1776082149,15032,
42517412,1,1,0,1,23,23,1,1,1,1776082143,20037,
213699079,23,23,18,5,44,44,1,1,1,1776082194,19045,
15066765479,21,21,8,13,19,19,1,1,1,1776082108,22302,
213676294,19,19,14,5,15,15,1,1,1,1776082174,13053,
95073815,17,17,6,11,19,19,1,1,1,1776082087,9029,
17451132826,9,9,7,2,10,10,1,1,1,1776081625,48011,
10647548670,5,5,0,5,17,17,1,1,1,1776081722,41212,
10647608657,15,15,6,9,13,13,1,1,1,1776082128,34009,
16043282800,1,1,1,0,29,29,1,1,1,1776081930,41304,
54000555,38,38,17,21,10,10,1,1,1,1776082119,8031,
54000621,10,10,1,9,29,29,1,1,1,1776082194,20030,
100863462,59,59,50,9,4,4,1,1,1,1776082150,7007,
76121343,0,0,0,0,26,26,1,1,1,1776081609,15039,
17047102542,8,8,7,1,11,11,1,1,1,1776081831,26011,
17450286381,2,2,0,2,17,17,1,1,1,1776082158,22208,
16134135570,15,15,9,6,10,10,1,1,1,1776082142,45005,
11266280626,5,5,5,0,23,23,1,1,1,1776082141,35021,
27033125,2,2,1,1,13,13,1,1,1,1776082198,18045,
213680917,1,1,0,1,24,24,1,1,1,1776082102,14110,
49039283,2,2,0,2,17,17,1,1,1,1776082131,18018,
35642049,3,3,1,2,12,12,1,1,1,1776082076,10025,
17261310217,4,4,0,4,25,25,1,1,1,1776082171,32305,
11851012506,17,17,14,3,15,15,1,1,1,1776082162,22305,
2515774908,9,9,2,7,14,14,1,1,1,1776082192,21954,
13341879803,4,4,2,2,23,23,1,1,1,1776082160,22507,
15826185972,5,5,3,2,10,10,1,1,1,1776082118,11201,
12943772652,12,12,11,1,17,17,1,1,1,1776082069,22602,
16134083337,6,6,4,2,22,22,1,1,1,1776081945,25010,
82423726,27,27,22,5,40,40,1,1,1,1776082131,12106,
12959947458,7,7,6,1,15,15,1,1,1,1776082176,23205,
12948189248,26,26,19,7,0,0,1,1,1,1776081918,32023,
12806084887,13,13,8,5,31,31,1,1,1,1776082072,23201,
1074347188,12,12,5,7,23,23,1,1,1,1776081987,12165,
84986959,41,41,38,3,19,19,1,1,1,1776082062,12001,
18815024485,25,25,11,14,10,10,1,1,1,1776082065,22018,
16379269732,39,39,27,12,1,1,1,1,1,1776082190,21320,
39149651,45,45,39,6,6,6,1,1,1,1776082118,11001,
17451195211,13,13,10,3,16,16,1,1,1,1776082075,21327,
54000466,27,27,10,17,2,2,1,1,1,1776081649,2010,
653065577,2,2,0,2,28,28,1,1,1,1776082106,10163,
11851103861,0,0,0,0,25,25,1,1,1,1776081684,23203,
210581084,18,18,3,15,25,25,1,1,1,1776081901,9035,
11438049493,15,15,8,7,16,16,1,1,1,1776081920,17126,
11437651826,2,2,0,2,28,28,1,1,1,1776081901,34005,
11438116799,18,18,15,3,22,22,1,1,1,1776082044,17127,
11437761399,2,2,2,0,30,30,1,1,1,1776082180,26008,
11437961617,10,10,8,2,18,18,1,1,1,1776082123,26009,
11004720021,17,17,13,4,13,13,1,1,1,1776082190,34008,
11437706131,23,23,20,3,3,3,1,1,1,1776082110,34012,
13373758036,0,0,0,0,27,27,1,1,1,1776081753,23204,
13373801574,17,17,8,9,13,13,1,1,1,1776081982,31301,
13373712848,1,1,1,0,23,23,1,1,1,1776081790,21514,
13373848216,12,12,7,5,16,16,1,1,1,1776081802,31303,
101756482,10,10,8,2,50,50,1,1,1,1776082108,15052,
6295,20,20,13,7,3,3,1,1,1,1776082196,5107,
82402482,8,8,3,5,50,50,1,1,1,1776082168,10026,
129088667,4,4,0,4,47,47,1,1,1,1776082149,17010,
54000604,1,1,0,1,32,32,1,1,1,1776082156,18023,
43247738,1,1,0,1,49,49,1,1,1,1776082084,18026,
102311820,0,0,0,0,34,34,1,1,1,1776081632,18024,
213686196,12,12,1,11,7,7,1,1,1,1776081844,16006,
368766689,36,36,31,5,6,6,1,1,1,1776082196,42004,
117480156,39,39,25,14,5,5,1,1,1,1776082159,21021,
285001735,53,53,27,26,1,1,1,1,1,1776082103,2108,
96512532,14,14,9,5,18,18,1,1,1,1776082091,8008,
19183755581,5,5,2,3,19,19,1,1,1,1776082185,13205,
18523643190,17,17,4,13,8,8,1,1,1,1776082166,31202,
1036199130,8,8,3,5,13,13,1,1,1,1776082175,47002,
27415466,1,1,0,1,21,21,1,1,1,1776081880,20112,
18908512040,15,15,11,4,3,3,1,1,1,1776082125,7201,
19697937136,14,14,6,8,4,4,1,1,1,1776082122,22019,
18523627466,32,32,15,17,4,4,1,1,1,1776082173,31201,
82457375,4,4,4,0,27,27,1,1,1,1776081981,15013,
19183922057,4,4,2,2,36,36,1,1,1,1776082169,13204,
452341449,2,2,1,1,17,17,1,1,1,1776081961,13035,
82499609,29,29,27,2,6,6,1,1,1,1776082191,15062,
129042700,1,1,0,1,57,57,1,1,1,1776081869,10114,
507934805,2,2,0,2,21,21,1,1,1,1776082039,18134,
18890164656,5,5,1,4,18,18,1,1,1,1776081703,13203,
907054879,13,13,8,5,7,7,1,1,1,1776081890,47007,
18023659071,27,27,12,15,0,0,1,1,1,1776081897,13202,
549480297,33,33,12,21,3,3,1,1,1,1776082174,13051,
19902592897,5,5,4,1,16,16,1,1,1,1776081834,47008,
653139063,5,5,5,0,13,13,1,1,1,1776082136,21501,
66505511,49,49,20,29,3,3,1,1,1,1776082037,8038,
18206879942,3,3,0,3,17,17,1,1,1,1776082172,19204,
18099679477,14,14,1,13,2,2,1,1,1,1776082132,5201,
20636986665,0,0,0,0,38,38,1,0,0,1758204784,18209,
19183833298,3,3,1,2,34,34,1,1,1,1776082104,18206,
256403519,2,2,0,2,18,18,1,1,1,1776081977,18042,
581480367,21,21,15,6,44,44,1,1,1,1776082088,12157,
27415736,4,4,1,3,26,26,1,1,1,1776082154,35002,
121086415,15,15,12,3,2,2,1,1,1,1776082164,8039,
1062742831,32,32,31,1,6,6,1,1,1,1776082155,7109,
653087180,3,3,0,3,27,27,1,1,1,1776081767,18044,
74635382,25,25,21,4,21,21,1,1,1,1776082143,11014,
210573120,18,18,1,17,14,14,1,1,1,1776081934,8057,
39202840,3,3,0,3,15,15,1,1,1,1776081871,18041,
653131074,3,3,0,3,21,21,1,1,1,1776081943,21213,
54000567,4,4,0,4,27,27,1,1,1,1776082102,11012,
478952881,20,20,12,8,18,18,1,1,1,1776082196,11009,
129050965,8,8,5,3,8,8,1,1,1,1776082195,11046,
442739463,15,15,13,2,1,1,1,1,1,1776082168,3004,
213999554,5,5,2,3,15,15,1,1,1,1776081919,35001,
30641281,6,6,6,0,15,15,1,1,1,1776082131,15060,
312165511,24,24,21,3,14,14,1,1,1,1776082139,11037,
100893610,53,53,31,22,6,6,1,1,1,1776082158,7023,
42907187,17,17,12,5,8,8,1,1,1,1776082183,11011,
213684314,8,8,6,2,17,17,1,1,1,1776082087,15105,
19091372977,3,3,2,1,29,29,1,1,1,1776082055,18205,
43165673,8,8,2,6,40,40,1,1,1,1776081948,11020,
476053320,4,4,1,3,22,22,1,1,1,1776082148,7111,
66491390,38,38,24,14,15,15,1,1,1,1776081970,9025,
213687475,10,10,1,9,12,12,1,1,1,1776082054,16103,
128915891,31,31,19,12,2,2,1,1,1,1776082142,7025,
20636530104,0,0,0,0,51,51,1,0,0,1758197095,10203,
653042678,24,24,20,4,1,1,1,1,1,1776081840,4108,
19184128113,2,2,1,1,24,24,1,1,1,1776081743,40007,
19186120360,5,5,0,5,15,15,1,1,1,1776081739,40010,
19186208004,5,5,0,5,11,11,1,1,1,1776082188,40012,
19186237098,14,14,7,7,22,22,1,1,1,1776082176,40013,
54000572,13,13,9,4,8,8,1,1,1,1776081887,12107,
478732841,3,3,1,2,11,11,1,1,1,1776082153,4104,
19184196181,7,7,6,1,21,21,1,1,1,1776081685,40014,
54000634,5,5,2,3,21,21,1,1,1,1776082150,23011,
384370499,1,1,0,1,24,24,1,1,1,1776082137,15122,
70903158,14,14,3,11,10,10,1,1,1,1776082144,16005,
54000571,3,3,2,1,48,48,1,1,1,1776082179,12201,
1074187051,13,13,11,2,14,14,1,1,1,1776082092,26005,
20635651817,0,0,0,0,38,38,1,0,0,1753349163,2202,
19179850066,14,14,1,13,3,3,1,1,1,1776081893,40003,
19016711237,14,14,14,0,4,4,1,1,1,1776081969,23801,
19130603957,23,23,3,20,1,1,1,1,1,1776082172,40004,
213987795,0,0,0,0,40,40,1,0,0,1776081890,32004,
653175838,2,2,0,2,16,16,1,1,1,1776082065,23703,
19309244936,26,26,21,5,15,15,1,1,1,1776081961,40008,
652120758,7,7,6,1,52,52,1,1,1,1776082187,14021,
19130022694,15,15,10,5,8,8,1,1,1,1776082022,40015,
27415150,3,3,1,2,20,20,1,1,1,1776081877,13106,
18656691283,26,26,16,10,8,8,1,1,1,1776082172,51005,
20682017769,0,0,0,0,35,35,1,0,0,1761197106,30006,
125542925,2,2,0,2,35,35,1,1,1,1776082172,10031,
2515686699,0,0,0,0,25,25,1,1,1,1776081915,20137,
210749865,3,3,3,0,15,15,1,1,1,1776082183,13001,
7295,13,13,1,12,2,2,1,1,1,1776081876,6010,
38060,4,4,3,1,38,38,1,1,1,1776082142,15001,
284787594,4,4,0,4,35,35,1,1,1,1776082187,13010,
339797666,4,4,3,1,22,22,1,1,1,1776082153,35014,
213945171,2,2,0,2,20,20,1,1,1,1776082021,31708,
653205656,17,17,11,6,11,11,1,1,1,1776082054,27004,
20689987843,1,1,1,0,22,22,1,1,1,1776082090,31029,
213683992,21,21,18,3,30,30,1,1,1,1776082080,15103,
123095125,10,10,3,7,50,50,1,1,1,1776082190,10013,
27415224,33,33,21,12,0,0,1,1,1,1776082063,15026,
6296,33,33,27,6,0,0,1,1,1,1776082133,6001,
27414460,31,31,26,5,5,5,1,1,1,1776082096,1022,
244498842,23,23,10,13,26,26,1,1,1,1776082118,41301,
18795043822,4,4,0,4,23,23,1,1,1,1776082167,19203,
19335882998,20,20,11,9,12,12,1,1,1,1776082110,34014,
18749423187,2,2,0,2,17,17,1,1,1,1776082143,21404,
2515636592,9,9,1,8,8,8,1,1,1,1776081772,17123,
82328045,21,21,15,6,0,0,1,1,1,1776082158,1002,
207633746,28,28,6,22,33,33,1,1,1,1776082122,17038,
20703011127,12,12,5,7,8,8,1,1,1,1776082129,43102,
1062807847,38,38,29,9,4,4,1,1,1,1776082163,13123,
20431211740,0,0,0,0,1,1,0,0,0,1630119451,32308,
20699530917,3,3,1,2,13,13,1,1,1,1776082092,23805,
128882438,34,34,30,4,5,5,1,1,1,1776082098,5020,
20703108288,0,0,0,0,0,0,1,0,0,1759851097,45503,
20702583198,28,28,20,8,6,6,1,1,1,1776082071,30001,
20702946965,5,5,3,2,19,19,1,1,1,1776081864,34501,
20702781391,7,7,4,3,27,27,1,1,1,1776082058,34015,
213952930,15,15,11,4,15,15,1,1,1,1776082165,32001,
20703075041,10,10,6,4,7,7,1,1,1,1776081724,43103,
653046369,34,34,29,5,32,32,1,1,1,1776082151,32012,
20636596293,0,0,0,0,30,30,1,0,0,1727035928,10208,
20702936749,23,23,17,6,7,7,1,1,1,1776082084,43101,
20690183551,0,0,0,0,23,23,1,0,0,1765359086,35022,
100798076,31,31,19,12,4,4,1,1,1,1776082182,6016,
20702544649,9,9,6,3,9,9,1,1,1,1776081982,23904,
20699589412,1,1,1,0,15,15,1,1,1,1776082007,23806,
49791363,24,24,4,20,4,4,1,1,1,1776082182,8052,
20706822746,16,16,14,2,9,9,1,1,1,1776082169,40018,
2515855808,45,45,15,30,3,3,1,1,1,1776082197,33019,
101761298,44,44,32,12,10,10,1,1,1,1776082108,15058,
129096696,1,1,1,0,12,12,1,1,1,1776081884,18014,
19331872653,11,11,4,7,8,8,1,1,1,1776082043,40002,
20278271464,26,26,21,5,20,20,1,1,1,1776082184,44018,
476155906,27,27,22,5,1,1,1,1,1,1776082179,4010,
437741660,39,39,18,21,4,4,1,1,1,1776082125,1003,
20033972555,30,30,19,11,2,2,1,1,1,1776082106,22304,
452347778,8,8,7,1,13,13,1,1,1,1776081781,12010,
20235746379,21,21,17,4,2,2,1,1,1,1776082137,15204,
102335085,10,10,8,2,16,16,1,1,1,1776081908,21302,
523900881,11,11,5,6,50,50,1,1,1,1776082090,19018,
653073004,72,72,43,29,1,1,1,1,1,1776082132,12127,
129026597,21,21,6,15,1,1,1,1,1,1776082137,9104,
126354477,5,5,0,5,12,12,1,1,1,1776082017,18043,
20084863816,31,31,13,18,3,3,1,1,1,1776082162,5202,
394404659,17,17,8,9,24,24,1,1,1,1776082169,8002,
34742973,38,38,35,3,0,0,1,1,1,1776082159,15056,
19697809404,33,33,12,21,2,2,1,1,1,1776082162,8203,
315022587,74,74,36,38,0,0,1,1,1,1776082109,8004,
101013666,33,33,23,10,1,1,1,1,1,1776082145,12105,
